iter	Logloss
0	0.6491437414
1	0.6106099368
2	0.5804626266
3	0.5522555902
4	0.5262193402
5	0.5008077576
6	0.4812963376
7	0.4620362823
8	0.4461815497
9	0.43033448
10	0.4142073989
11	0.4011998959
12	0.3907486674
13	0.3808039194
14	0.3710193741
15	0.3641415233
16	0.3554515769
17	0.3492319302
18	0.3419541585
19	0.3378270787
20	0.3330131035
21	0.3283114116
22	0.3239310849
23	0.3201539204
24	0.3157882996
25	0.31260695
26	0.3092978007
27	0.3057002159
28	0.3022074086
29	0.2991090199
30	0.2959411307
31	0.2933313349
32	0.2905582019
33	0.2879578276
34	0.2855463042
35	0.2836844419
36	0.2817866351
37	0.2802803
38	0.2789353218
39	0.2775256255
40	0.2758792516
41	0.2738900255
42	0.2723048937
43	0.2712590573
44	0.2696152478
45	0.2678187134
46	0.2662825314
47	0.2651202949
48	0.2637658814
49	0.2622805931
50	0.2609587326
51	0.2596496388
52	0.2586387983
53	0.2575308722
54	0.2563464144
55	0.2553938322
56	0.25424174
57	0.2530719476
58	0.25218418
59	0.2512767272
60	0.2504818861
61	0.2497337875
62	0.2492156003
63	0.2486779192
64	0.2478278453
65	0.2471225869
66	0.2460822276
67	0.2452863871
68	0.2446291632
69	0.2441226528
70	0.2435059422
71	0.2430223416
72	0.2425473678
73	0.2417466405
74	0.2411925071
75	0.2405901709
76	0.2401958546
77	0.2396339233
78	0.2391088834
79	0.2386577514
80	0.2381252462
81	0.2376816534
82	0.237122518
83	0.2367068945
84	0.2362257757
85	0.2358506384
86	0.235357156
87	0.2350399783
88	0.2345352559
89	0.2341770076
90	0.2338436318
91	0.2334749631
92	0.2331382727
93	0.2327619445
94	0.2323786151
95	0.2318463715
96	0.2314195671
97	0.2310563679
98	0.2307502827
99	0.2303961809
100	0.2300228195
101	0.2297031777
102	0.2294196542
103	0.22913253
104	0.2288106359
105	0.2285877643
106	0.2282589924
107	0.2279334473
108	0.2276413001
109	0.2272001424
110	0.2268865915
111	0.2265965323
112	0.2262776461
113	0.2260244179
114	0.2257123283
115	0.2253909998
116	0.2251471211
117	0.2249141645
118	0.2246984979
119	0.224507422
120	0.2240693806
121	0.2237190231
122	0.2234510385
123	0.2231866025
124	0.22295392
125	0.2226709883
126	0.2224127371
127	0.2220661823
128	0.2217770809
129	0.2214827
130	0.2212394343
131	0.2210140269
132	0.2207578567
133	0.220536315
134	0.2202804294
135	0.2198814263
136	0.2196994769
137	0.2194757824
138	0.2193013985
139	0.2190886022
140	0.2189097323
141	0.2187230054
142	0.21842866
143	0.2181665937
144	0.2179186949
145	0.2177320477
146	0.2174924578
147	0.2173068578
148	0.2171507936
149	0.2169304958
150	0.2167165305
151	0.2164227545
152	0.2162449707
153	0.2160501983
154	0.2159058794
155	0.2157259505
156	0.2155017151
157	0.2152952533
158	0.2151336714
159	0.214978234
160	0.2148205624
161	0.214528086
162	0.2143882229
163	0.2142610677
164	0.2140179947
165	0.2138141662
166	0.2136148638
167	0.2133922565
168	0.2132505409
169	0.2131110298
170	0.2128181555
171	0.2126904583
172	0.2125587277
173	0.2124089951
174	0.2122403492
175	0.2120657312
176	0.2119170821
177	0.2117387889
178	0.2116221572
179	0.2113572301
180	0.2111645665
181	0.210967577
182	0.2108599963
183	0.2107253557
184	0.2105936972
185	0.2104134584
186	0.2102393931
187	0.2100739276
188	0.2098812198
189	0.2096840714
190	0.209574304
191	0.2093933547
192	0.2092936621
193	0.2091520417
194	0.2090294196
195	0.2087621142
196	0.208589754
197	0.2084737176
198	0.2083127358
199	0.2081942288
200	0.208046124
201	0.207881224
202	0.2077163527
203	0.2075444332
204	0.2073538174
205	0.2071502107
206	0.2070268245
207	0.2068994649
208	0.2067448751
209	0.2065783715
210	0.2064239608
