iter	Passed	Remaining
0	27	27443
1	52	25996
2	75	25190
3	99	24879
4	131	26108
5	156	25844
6	178	25364
7	205	25424
8	230	25344
9	264	26224
10	292	26332
11	317	26134
12	340	25843
13	363	25588
14	390	25633
15	415	25560
16	441	25527
17	464	25317
18	498	25754
19	531	26035
20	563	26251
21	586	26086
22	611	25981
23	632	25737
24	650	25373
25	665	24942
26	681	24565
27	696	24188
28	713	23900
29	729	23575
30	745	23296
31	763	23099
32	782	22919
33	798	22694
34	814	22457
35	830	22235
36	846	22035
37	861	21819
38	876	21586
39	891	21398
40	908	21257
41	925	21113
42	945	21035
43	968	21039
44	987	20956
45	1005	20857
46	1021	20721
47	1038	20602
48	1053	20451
49	1069	20329
50	1085	20190
51	1099	20042
52	1113	19902
53	1128	19761
54	1142	19629
55	1164	19636
56	1182	19554
57	1200	19503
58	1218	19441
59	1238	19406
60	1259	19380
61	1277	19323
62	1299	19327
63	1317	19261
64	1331	19149
65	1346	19060
66	1362	18969
67	1375	18858
68	1390	18765
69	1405	18671
70	1421	18594
71	1434	18491
72	1453	18455
73	1468	18377
74	1482	18285
75	1497	18207
76	1512	18126
77	1527	18050
78	1543	17996
79	1558	17920
80	1572	17838
81	1585	17745
82	1600	17682
83	1615	17620
84	1633	17582
85	1649	17529
86	1663	17459
87	1677	17385
88	1698	17389
89	1714	17333
90	1730	17286
91	1744	17215
92	1760	17165
93	1774	17100
94	1788	17039
95	1803	16980
96	1817	16920
97	1832	16864
98	1847	16811
99	1867	16803
100	1884	16776
101	1902	16748
102	1922	16738
103	1939	16706
104	1960	16712
105	1983	16728
106	2001	16706
107	2018	16672
108	2033	16620
109	2048	16573
110	2063	16527
111	2078	16478
112	2094	16440
113	2109	16393
114	2123	16343
115	2138	16297
116	2153	16254
117	2168	16207
118	2182	16155
119	2195	16100
120	2210	16058
121	2225	16015
122	2239	15970
123	2253	15922
124	2269	15886
125	2285	15851
126	2298	15799
127	2314	15764
128	2329	15726
129	2346	15702
130	2365	15693
131	2388	15708
132	2406	15688
133	2424	15671
134	2440	15636
135	2455	15599
136	2470	15560
137	2488	15543
138	2510	15551
139	2527	15523
140	2541	15482
141	2555	15443
142	2571	15409
143	2584	15364
144	2598	15321
145	2616	15302
146	2631	15268
147	2645	15232
148	2662	15209
149	2680	15188
150	2695	15152
151	2712	15131
152	2729	15110
153	2746	15087
154	2764	15073
155	2781	15048
156	2799	15031
157	2815	15005
158	2830	14971
159	2845	14939
160	2859	14903
161	2873	14862
162	2886	14820
163	2901	14788
164	2915	14752
165	2931	14729
166	2949	14711
167	2962	14671
168	2976	14634
169	2990	14601
170	3005	14570
171	3020	14538
172	3034	14506
173	3049	14475
174	3064	14446
175	3080	14423
176	3098	14405
177	3112	14373
178	3127	14345
179	3141	14312
180	3155	14279
181	3171	14254
182	3187	14229
183	3206	14219
184	3221	14193
185	3234	14156
186	3248	14124
187	3264	14100
188	3280	14078
189	3296	14054
190	3313	14034
191	3329	14012
192	3346	13991
193	3362	13971
194	3381	13960
195	3399	13944
196	3416	13924
197	3432	13903
198	3448	13882
199	3464	13858
200	3479	13831
201	3494	13804
202	3510	13783
203	3526	13759
204	3542	13736
205	3562	13732
206	3595	13775
207	3627	13812
208	3650	13814
209	3664	13784
210	3681	13767
211	3697	13742
212	3712	13715
213	3727	13689
214	3741	13661
215	3755	13632
216	3770	13603
217	3785	13577
218	3803	13564
219	3821	13547
220	3838	13531
221	3857	13517
222	3875	13502
223	3893	13489
224	3916	13491
225	3941	13497
226	3960	13487
227	3987	13499
228	4007	13491
229	4029	13491
230	4047	13474
231	4063	13452
232	4077	13421
233	4089	13387
234	4104	13361
235	4119	13334
236	4133	13307
237	4146	13277
238	4161	13249
239	4174	13219
240	4187	13187
241	4200	13157
242	4214	13130
243	4230	13106
244	4247	13088
245	4265	13073
246	4282	13054
247	4297	13032
248	4312	13005
249	4326	12980
250	4344	12963
251	4358	12938
252	4374	12917
253	4389	12891
254	4407	12877
255	4426	12865
256	4447	12857
257	4465	12841
258	4481	12822
259	4497	12801
260	4513	12778
261	4527	12753
262	4543	12731
263	4559	12710
264	4574	12689
265	4589	12665
266	4609	12654
267	4636	12664
268	4657	12655
269	4683	12663
270	4707	12664
271	4731	12662
272	4751	12653
273	4772	12645
274	4794	12638
275	4811	12622
276	4832	12613
277	4849	12594
278	4870	12585
279	4892	12580
280	4912	12569
281	4935	12566
282	4954	12552
283	4973	12538
284	4995	12533
285	5015	12521
286	5033	12504
287	5051	12488
288	5070	12475
289	5087	12456
290	5105	12438
291	5122	12419
292	5137	12396
293	5153	12376
294	5169	12354
295	5185	12333
296	5202	12314
297	5219	12295
298	5236	12276
299	5255	12262
300	5272	12243
301	5286	12218
302	5301	12194
303	5316	12172
304	5333	12154
305	5350	12135
306	5367	12115
307	5384	12096
308	5400	12077
309	5415	12054
310	5432	12035
311	5454	12027
312	5471	12009
313	5486	11986
314	5501	11964
315	5517	11942
316	5532	11919
317	5550	11904
318	5572	11896
319	5595	11890
320	5618	11885
321	5641	11878
322	5661	11866
323	5679	11850
324	5696	11831
325	5713	11812
326	5729	11791
327	5745	11772
328	5762	11752
329	5778	11731
330	5794	11711
331	5811	11692
332	5826	11671
333	5843	11651
334	5860	11634
335	5878	11617
336	5896	11600
337	5918	11591
338	5936	11574
339	5958	11566
340	5978	11553
341	5998	11540
342	6019	11530
343	6038	11514
344	6058	11501
345	6077	11486
346	6099	11477
347	6115	11457
348	6131	11437
349	6148	11418
350	6165	11400
351	6183	11382
352	6202	11367
353	6223	11356
354	6241	11339
355	6258	11320
356	6275	11302
357	6291	11282
358	6307	11262
359	6324	11243
360	6341	11224
361	6356	11202
362	6371	11180
363	6388	11161
364	6403	11140
365	6420	11122
366	6437	11102
367	6454	11084
368	6471	11066
369	6488	11047
370	6503	11026
371	6519	11006
372	6536	10987
373	6552	10967
374	6569	10948
375	6585	10929
376	6601	10908
377	6618	10890
378	6640	10881
379	6658	10863
380	6675	10845
381	6693	10828
382	6712	10813
383	6732	10799
384	6756	10792
385	6782	10788
386	6806	10781
387	6833	10778
388	6860	10776
389	6890	10777
390	6914	10769
391	6937	10760
392	6961	10751
393	6985	10743
394	7006	10731
395	7031	10724
396	7053	10713
397	7075	10702
398	7097	10689
399	7127	10690
400	7145	10673
401	7160	10651
402	7177	10632
403	7193	10612
404	7208	10590
405	7230	10578
406	7250	10564
407	7267	10544
408	7286	10529
409	7302	10509
410	7319	10488
411	7333	10466
412	7347	10443
413	7361	10420
414	7375	10396
415	7388	10372
416	7403	10350
417	7417	10327
418	7430	10304
419	7446	10282
420	7463	10264
421	7478	10243
422	7492	10219
423	7505	10196
424	7521	10175
425	7539	10158
426	7565	10152
427	7585	10137
428	7603	10120
429	7621	10102
430	7652	10103
431	7681	10099
432	7711	10097
433	7736	10089
434	7759	10078
435	7776	10059
436	7792	10039
437	7807	10018
438	7828	10003
439	7858	10001
440	7881	9990
441	7913	9990
442	7943	9987
443	7967	9976
444	7995	9972
445	8020	9962
446	8066	9979
447	8090	9968
448	8108	9950
449	8122	9927
450	8137	9905
451	8150	9881
452	8164	9858
453	8177	9834
454	8197	9818
455	8213	9798
456	8230	9779
457	8246	9759
458	8266	9743
459	8292	9735
460	8319	9727
461	8335	9706
462	8349	9684
463	8364	9662
464	8379	9640
465	8393	9618
466	8412	9601
467	8429	9582
468	8445	9561
469	8465	9546
470	8486	9532
471	8508	9517
472	8530	9504
473	8568	9508
474	8596	9501
475	8641	9512
476	8666	9501
477	8702	9503
478	8758	9526
479	8798	9532
480	8814	9510
481	8830	9490
482	8844	9467
483	8860	9445
484	8874	9423
485	8892	9405
486	8908	9384
487	8924	9363
488	8941	9343
489	8958	9324
490	8975	9304
491	8991	9283
492	9004	9260
493	9018	9237
494	9032	9215
495	9046	9192
496	9060	9169
497	9074	9147
498	9090	9126
499	9104	9104
500	9118	9082
501	9133	9060
502	9146	9037
503	9161	9015
504	9175	8994
505	9189	8971
506	9203	8949
507	9216	8926
508	9229	8903
509	9244	8881
510	9257	8859
511	9271	8836
512	9285	8814
513	9301	8794
514	9318	8776
515	9337	8758
516	9356	8741
517	9382	8730
518	9414	8725
519	9443	8717
520	9473	8709
521	9495	8695
522	9515	8678
523	9546	8672
524	9571	8659
525	9597	8648
526	9624	8638
527	9646	8623
528	9674	8614
529	9702	8604
530	9721	8586
